Part;Value;Device;Package;Description;DISTRCODE;DISTRIBUTOR;MANUFACTURER;PARTNUMBER;LINK
C1;100n;C-EUC0805;C0805;CAPACITOR, European symbol;1740673;Farnell;AVX;08055C104JAT2A;https://es.farnell.com/avx/08055c104jat2a/conden-0-1-f-50v-5-x7r-0805/dp/1740673?st=0805%20100n
C2;100n;C-EUC0805;C0805;CAPACITOR, European symbol;1740673;Farnell;AVX;08055C104JAT2A;https://es.farnell.com/avx/08055c104jat2a/conden-0-1-f-50v-5-x7r-0805/dp/1740673?st=0805%20100n
C3;10n;C-EUC0603;C0603;CAPACITOR, European symbol;1833871;Farnell;AVX;06035C103JAT2A ;https://es.farnell.com/avx/06035c103jat2a/conden-0-01-f-50v-5-x7r-0603/dp/1833871?st=0603%2010n
C4;100n;C-EUC0805;C0805;CAPACITOR, European symbol;1740673;Farnell;AVX;08055C104JAT2A;https://es.farnell.com/avx/08055c104jat2a/conden-0-1-f-50v-5-x7r-0805/dp/1740673?st=0805%20100n
C5;100n;C-EUC0805;C0805;CAPACITOR, European symbol;1740673;Farnell;AVX;08055C104JAT2A;https://es.farnell.com/avx/08055c104jat2a/conden-0-1-f-50v-5-x7r-0805/dp/1740673?st=0805%20100n
C6;1n;C-EUC0402;C0402;CAPACITOR, European symbol;2280640;Farnell;AVX;04025C102JAT2A;https://es.farnell.com/avx/08055c104jat2a/conden-0-1-f-50v-5-x7r-0805/dp/1740673?st=0805%20100n
LED2;KP-1608CGCK;LED_ESML0603;LED_SML0603;Green LED;2290328;Farnell;Kingbright;     KP-1608CGCK ;https://es.farnell.com/kingbright/kp-1608cgck/led-0603-50mcd-green/dp/2290328
LED3;KP-1608SYCK;LED_ESML0603;LED_SML0603;Yellow LED;2290330;Farnell;Kingbright; KP-1608SYCK ;https://es.farnell.com/kingbright/kp-1608syck/led-0603-150mcd-yellow/dp/2290330
LED4;KPT-1608SURCK;LED_ESML0603;LED_SML0603;Red LED;2099224;Farnell;Kingbright;KPT-1608SURCK ;https://es.farnell.com/kingbright/kpt-1608surck/led-0603-red-230mcd-630nm/dp/2099224
R1;120;R-EU_R1206;R1206;RESISTOR, European symbol;2371706;Farnell;Multicomp;MC1206S4F4701T5E;https://es.farnell.com/multicomp/mc1206s4f4701t5e/thick-film-resistor-4-7kohm-250mw/dp/2371706?ost=resistor+4k7+1206&krypto=pnDh7mvgMbqH3BJ9D6PMq%2Fmgz7DX%2FZVslfnpkRwFbtx8Tl9Huso%2B7LhoCrm%2BK5rWSI6UCqAXArHbzyh3H1EYjw%3D%3D&ddkey=https%3Aes-ES%2FElement14_Spain%2Fsearch
R2;120;R-EU_R1206;R1206;RESISTOR, European symbol;2371706;Farnell;Multicomp;MC1206S4F4701T5E;https://es.farnell.com/multicomp/mc1206s4f4701t5e/thick-film-resistor-4-7kohm-250mw/dp/2371706?ost=resistor+4k7+1206&krypto=pnDh7mvgMbqH3BJ9D6PMq%2Fmgz7DX%2FZVslfnpkRwFbtx8Tl9Huso%2B7LhoCrm%2BK5rWSI6UCqAXArHbzyh3H1EYjw%3D%3D&ddkey=https%3Aes-ES%2FElement14_Spain%2Fsearch
R3;4k7;R-EU_R1206;R1206;RESISTOR, European symbol;2820489RL;Farnell;Vishay;Y4023120R000Q9R;https://es.farnell.com/vishay-foil-resistors/y4023120r000q9r/res-120r-0-02-0-3w-1206-hoja-metal/dp/2820489RL?st=resistor%20120%201206
R4;4k7;R-EU_R1206;R1206;RESISTOR, European symbol;2820489RL;Farnell;Vishay;Y4023120R000Q9R;https://es.farnell.com/vishay-foil-resistors/y4023120r000q9r/res-120r-0-02-0-3w-1206-hoja-metal/dp/2820489RL?st=resistor%20120%201206
R5;120;R-EU_R1206;R1206;RESISTOR, European symbol;2371706;Farnell;Multicomp;MC1206S4F4701T5E;https://es.farnell.com/multicomp/mc1206s4f4701t5e/thick-film-resistor-4-7kohm-250mw/dp/2371706?ost=resistor+4k7+1206&krypto=pnDh7mvgMbqH3BJ9D6PMq%2Fmgz7DX%2FZVslfnpkRwFbtx8Tl9Huso%2B7LhoCrm%2BK5rWSI6UCqAXArHbzyh3H1EYjw%3D%3D&ddkey=https%3Aes-ES%2FElement14_Spain%2Fsearch
S1;;SPST-2-SMD-5.2MM-TALL;TACTILE_SWITCH_SMD_5.2MM;Momentary Switch (Pushbutton) - SPST - Two Circuits;611-KSC421G70SH-LFS ;Mouser;C&K;KSC421G70SHLFS ;https://eu.mouser.com/ProductDetail/CK/KSC421G70SHLFS?qs=sGAEpiMZZMsgGjVA3toVBOjLgGZA5A1OElZhsdVu7ak%3D
U1;MPU-9250;MPU-9250;QFN40P300X300X105-25N;MPU-9250; 410-MPU-9250 ;Mouser;TDK InvenSense;MPU-9250 ;https://eu.mouser.com/ProductDetail/TDK-InvenSense/MPU-9250?qs=sGAEpiMZZMve4%2FbfQkoj%252BGX2U5IkiOVxAMRs%252Bjynh2I%3D
U2;JOYSTICK;JOYSTICK;JOYSTICK_516_316;JOYSTICK;516-316;RS;Alps;SKQUCAA010;https://es.farnell.com/alps/skqucaa010/switch-5-way-0-05a-12vdc-tht/dp/1435775
